"date","plot_match","lon","lat","wind_speed_mean","lai_high_mean","lai_low_mean","temp_mean","max_temp","min_temp","vpd_mean","surf_net_sol_sum","surf_net_sol_clear_sum","top_net_sol_sum","top_net_sol_clear_sum","cloud_mean","precip_sum","CLYPPT_M_sl1_1km_ll","CLYPPT_M_sl7_1km_ll","SLTPPT_M_sl1_1km_ll","SLTPPT_M_sl7_1km_ll","SNDPPT_M_sl1_1km_ll","SNDPPT_M_sl7_1km_ll","ORCDRC_M_sl1_1km_ll","ORCDRC_M_sl7_1km_ll","CECSOL_M_sl1_1km_ll","CECSOL_M_sl7_1km_ll"
2018-08-19,"ZIS_1405",23.40056,-13.59615,3.28632682030059,3.21681893578203,1.64628191731448,296.099433115997,303.882478557142,290.037376207407,-0.197826668045307,10282145.1665573,10210875.6121038,13604568.673981,13533446.8401569,0.00416584011108907,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-08-20,"ZIS_1405",23.40056,-13.59615,2.60998508223025,3.22223634523728,1.64767756932218,295.3814669008,303.067254000966,290.414616807592,-0.1646249427558,10220932.3654342,10161386.6679688,13665373.7464789,13605351.3191827,0,-4.16333634234434e-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-08-21,"ZIS_1405",23.40056,-13.59615,1.99159163328927,3.22763847316264,1.64910442206439,295.279519303639,303.471833366485,289.184047332308,-0.167242691203013,10326329.7780355,10252050.4959639,13732417.2920513,13657727.1718371,0.00115717780863585,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-08-22,"ZIS_1405",23.40056,-13.59615,0.957141527486481,3.23308338102047,1.65048973064054,295.651335755787,304.817827941737,288.57983443143,-0.183146099108982,10383727.1808707,10270418.7899226,13840912.2194925,13725535.7680558,0.0243426975722155,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-08-23,"ZIS_1405",23.40056,-13.59615,1.97600141843195,3.23848498800223,1.65191657531092,297.040555070182,305.352691433848,290.774012703702,-0.201505370291319,9932372.19721362,10172949.1503823,13534479.3874231,13819731.2245128,0.25605038682801,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-08-24,"ZIS_1405",23.40056,-13.59615,2.00736091886568,3.24389574487102,1.65329149606043,297.156789168561,305.339012152632,292.329475591317,-0.200070447815551,10226816.2714968,10238853.9807425,13838593.2949812,13872498.8451009,0.093636030702089,-4.16333634234434e-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-08-25,"ZIS_1405",23.40056,-13.59615,3.10182594591816,3.24933396769984,1.65472855159805,297.010815529716,304.888532356492,290.355854227158,-0.204654887756387,10366384.7307463,10307544.6427296,13981250.8038393,13919719.2254284,0.435306130753463,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-08-26,"ZIS_1405",23.40056,-13.59615,2.32554745463235,3.25473409132727,1.65611447766933,296.614879360935,304.428360025167,290.464064286731,-0.19780771800505,10600344.5460455,10518653.7870081,14017671.1350922,13935985.4739444,0.000770604123113546,4.16333634234434e-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-08-27,"ZIS_1405",23.40056,-13.59615,2.95566158258326,3.26017754144332,1.65750961494253,296.552785994985,305.434063970216,289.708207750532,-0.208209532799633,10634976.6821601,10555498.1923611,14076213.264157,13996964.538782,0.00569687536559189,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-08-28,"ZIS_1405",23.40056,-13.59615,2.73656644481515,3.26558272843771,1.65894670618248,296.741070079378,304.463773521964,289.263730685125,-0.203169950359313,9526632.85440923,10515228.8216319,13037046.7847344,14075143.7151969,0.362438262656473,4.16333634234434e-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
